Dist,Fairway,Rough,Sand,Recovery,Green,Tee
595,3.7,3.74,3.81,5.572,,4.84
596,3.7,3.74,3.81,5.574,,4.843
597,3.7,3.74,3.81,5.576,,4.846
598,3.7,3.74,3.81,5.577,,4.849
599,3.7,3.74,3.81,5.578,,4.852
600,3.7,3.74,3.81,5.58,,4.855
601,3.7,3.74,3.81,5.58,,4.858
602,3.7,3.74,3.81,5.58,,4.861
603,3.7,3.74,3.81,5.58,,4.864
604,3.7,3.74,3.81,5.58,,4.867
605,3.7,3.74,3.81,5.58,,4.87
606,3.7,3.74,3.81,5.58,,4.877
607,3.7,3.74,3.81,5.58,,4.884
608,3.7,3.74,3.81,5.58,,4.892
609,3.7,3.74,3.81,5.58,,4.899
610,3.7,3.74,3.81,5.58,,4.906
611,3.7,3.74,3.81,5.58,,4.913
612,3.7,3.74,3.81,5.58,,4.92
613,3.7,3.74,3.81,5.58,,4.928
614,3.7,3.74,3.81,5.58,,4.935
615,3.7,3.74,3.81,5.58,,4.942
616,3.7,3.74,3.81,5.58,,4.949
617,3.7,3.74,3.81,5.58,,4.956
618,3.7,3.74,3.81,5.58,,4.964
619,3.7,3.74,3.81,5.58,,4.971
620,3.7,3.74,3.81,5.58,,4.978
621,3.7,3.74,3.81,5.58,,4.985
622,3.7,3.74,3.81,5.58,,4.992
623,3.7,3.74,3.81,5.58,,5.0
624,3.7,3.74,3.81,5.58,,5.007
625,3.7,3.74,3.81,5.58,,5.014
626,3.7,3.74,3.81,5.58,,5.021
627,3.7,3.74,3.81,5.58,,5.028
628,3.7,3.74,3.81,5.58,,5.036
629,3.7,3.74,3.81,5.58,,5.043
630,3.7,3.74,3.81,5.58,,5.05
631,3.7,3.74,3.81,5.58,,5.055
632,3.7,3.74,3.81,5.58,,5.06
633,3.7,3.74,3.81,5.58,,5.065
634,3.7,3.74,3.81,5.58,,5.07
635,3.7,3.74,3.81,5.58,,5.075
636,3.7,3.74,3.81,5.58,,5.08
637,3.7,3.74,3.81,5.58,,5.085
638,3.7,3.74,3.81,5.58,,5.09
639,3.7,3.74,3.81,5.58,,5.095
640,3.7,3.74,3.81,5.58,,5.1
641,3.7,3.74,3.81,5.58,,5.105
642,3.7,3.74,3.81,5.58,,5.11
643,3.7,3.74,3.81,5.58,,5.115
644,3.7,3.74,3.81,5.58,,5.12
645,3.7,3.74,3.81,5.58,,5.125
646,3.7,3.74,3.81,5.58,,5.13
647,3.7,3.74,3.81,5.58,,5.135
648,3.7,3.74,3.81,5.58,,5.14
649,3.7,3.74,3.81,5.58,,5.145
650,3.7,3.74,3.81,5.58,,5.15
