Dist,Fairway,Rough,Sand,Recovery,Green,Tee
139,2.957,3.16,3.144,3.8,,2.91
140,2.96,3.164,3.149,3.8,,2.91
141,2.964,3.169,3.154,3.8,,2.92
142,2.969,3.173,3.159,3.801,,2.93
143,2.974,3.178,3.163,3.802,,2.94
144,2.978,3.182,3.168,3.802,,2.947
145,2.982,3.187,3.173,3.802,,2.953
146,2.987,3.191,3.178,3.803,,2.96
147,2.992,3.196,3.183,3.804,,2.97
148,2.996,3.2,3.187,3.804,,2.976
149,3.0,3.204,3.192,3.804,,2.982
150,3.005,3.208,3.197,3.805,,2.988
151,3.01,3.212,3.202,3.806,,2.994
152,3.014,3.216,3.206,3.806,,3.001
153,3.018,3.22,3.211,3.806,,3.007
154,3.023,3.224,3.216,3.807,,3.013
155,3.028,3.228,3.221,3.808,,3.019
156,3.032,3.232,3.225,3.808,,3.025
157,3.036,3.236,3.23,3.808,,3.031
158,3.041,3.24,3.235,3.809,,3.037
159,3.045,3.244,3.24,3.81,,3.043
160,3.05,3.248,3.245,3.81,,3.049
161,3.054,3.252,3.249,3.81,,3.056
162,3.058,3.256,3.254,3.811,,3.062
163,3.062,3.26,3.259,3.812,,3.068
164,3.066,3.265,3.264,3.812,,3.074
165,3.07,3.27,3.268,3.812,,3.08
166,3.074,3.275,3.273,3.813,,3.08
167,3.078,3.28,3.278,3.814,,3.08
168,3.082,3.285,3.283,3.814,,3.08
169,3.086,3.29,3.288,3.814,,3.08
170,3.09,3.295,3.292,3.815,,3.08
171,3.094,3.3,3.297,3.816,,3.08
172,3.098,3.305,3.302,3.816,,3.08
173,3.102,3.31,3.307,3.816,,3.082
174,3.106,3.315,3.311,3.817,,3.083
175,3.11,3.32,3.316,3.818,,3.085
176,3.114,3.325,3.321,3.818,,3.086
177,3.118,3.33,3.326,3.818,,3.088
178,3.122,3.335,3.33,3.819,,3.089
179,3.126,3.34,3.335,3.819,,3.091
180,3.13,3.346,3.34,3.82,,3.093
181,3.138,3.352,3.347,3.822,,3.094
182,3.147,3.358,3.355,3.825,,3.096
183,3.156,3.364,3.362,3.827,,3.097
184,3.164,3.369,3.37,3.83,,3.099
185,3.172,3.375,3.377,3.832,,3.101
186,3.181,3.381,3.385,3.835,,3.102
187,3.19,3.387,3.392,3.838,,3.104
188,3.198,3.393,3.399,3.84,,3.105
189,3.206,3.399,3.407,3.842,,3.107
190,3.215,3.405,3.414,3.845,,3.108
191,3.224,3.411,3.422,3.848,,3.11
192,3.232,3.416,3.429,3.85,,3.12
193,3.24,3.422,3.436,3.852,,3.12
194,3.249,3.428,3.444,3.855,,3.12
195,3.258,3.434,3.451,3.858,,3.122
196,3.266,3.44,3.459,3.86,,3.125
197,3.274,3.446,3.466,3.863,,3.128
198,3.283,3.452,3.474,3.865,,3.13
199,3.291,3.458,3.481,3.868,,3.134
200,3.3,3.464,3.488,3.87,,3.138
201,3.307,3.469,3.496,3.872,,3.142
202,3.315,3.475,3.503,3.875,,3.146
203,3.322,3.481,3.511,3.878,,3.151
204,3.33,3.487,3.518,3.88,,3.155
205,3.338,3.493,3.525,3.883,,3.159
206,3.345,3.499,3.533,3.885,,3.163
207,3.352,3.505,3.54,3.888,,3.167
208,3.36,3.511,3.548,3.89,,3.171
209,3.368,3.516,3.555,3.892,,3.175
210,3.375,3.522,3.563,3.895,,3.179
211,3.382,3.528,3.57,3.898,,3.184
212,3.39,3.534,3.574,3.9,,3.188
213,3.398,3.54,3.578,3.902,,3.192
214,3.405,3.546,3.583,3.905,,3.196
215,3.412,3.552,3.587,3.907,,3.2
216,3.42,3.558,3.591,3.91,,3.203
217,3.428,3.564,3.595,3.912,,3.207
218,3.435,3.569,3.599,3.915,,3.21
219,3.443,3.575,3.604,3.918,,3.213
220,3.45,3.581,3.608,3.92,,3.217
221,3.453,3.587,3.612,3.922,,3.22
222,3.457,3.593,3.616,3.925,,3.223
223,3.46,3.599,3.621,3.927,,3.227
224,3.463,3.605,3.625,3.93,,3.23
225,3.467,3.611,3.629,3.932,,3.233
226,3.47,3.616,3.633,3.935,,3.237
227,3.473,3.622,3.637,3.938,,3.24
228,3.477,3.628,3.642,3.94,,3.246
229,3.48,3.634,3.646,3.942,,3.253
230,3.485,3.64,3.65,3.945,,3.259
231,3.489,3.646,3.654,3.948,,3.265
232,3.494,3.652,3.658,3.95,,3.271
233,3.498,3.658,3.663,3.952,,3.278
234,3.503,3.664,3.667,3.955,,3.284
235,3.507,3.669,3.671,3.958,,3.29
236,3.512,3.675,3.675,3.96,,3.297
237,3.516,3.681,3.679,3.963,,3.303
238,3.521,3.687,3.684,3.965,,3.309
239,3.525,3.693,3.688,3.968,,3.316
240,3.53,3.699,3.692,3.97,,3.322
241,3.535,3.705,3.696,3.973,,3.328
242,3.539,3.711,3.701,3.976,,3.334
243,3.544,3.716,3.705,3.979,,3.341
244,3.548,3.722,3.709,3.982,,3.347
245,3.553,3.728,3.713,3.985,,3.353
246,3.557,3.734,3.717,3.988,,3.36
247,3.562,3.74,3.722,3.991,,3.366
248,3.566,3.74,3.726,3.994,,3.372
249,3.571,3.74,3.73,3.997,,3.379
250,3.575,3.74,3.734,4.0,,3.385
251,3.58,3.74,3.738,4.003,,3.391
252,3.586,3.74,3.743,4.006,,3.397
253,3.591,3.74,3.747,4.009,,3.404
254,3.597,3.74,3.751,4.012,,3.41
255,3.603,3.74,3.755,4.015,,3.42
256,3.609,3.74,3.759,4.018,,3.43
257,3.614,3.74,3.764,4.021,,3.44
258,3.62,3.74,3.768,4.024,,3.45
259,3.628,3.74,3.772,4.027,,3.46
260,3.635,3.74,3.776,4.03,,3.47
261,3.642,3.74,3.781,4.034,,3.48
262,3.65,3.74,3.785,4.037,,3.49
263,3.657,3.74,3.789,4.04,,3.5
264,3.664,3.74,3.793,4.044,,3.51
265,3.671,3.74,3.797,4.048,,3.52
266,3.679,3.74,3.802,4.051,,3.53
267,3.686,3.74,3.806,4.054,,3.54
268,3.693,3.74,3.81,4.058,,3.55
269,3.7,3.74,3.81,4.061,,3.56
270,3.7,3.74,3.81,4.065,,3.57
